block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_65491,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063970
b_69106,18281,1,0,MAIN ST STATE ST - TO 5TH & MO VIA FAIRVIEW HGTS STA,111251,1_merged_3090847,3072712
b_6543,18218,1,0,TO CIVIC CENTER TC,110976,1_merged_3090847,3061752
b_65112,18257,1,0,TO HAMPTON GRAVOIS TC,111135,2_merged_3090849,3067193
b_6513,18217,1,1,TO ROCK ROAD TC,110973,1_merged_3090847,3061637
b_6541,18218,1,0,TO CIVIC CENTER TC,110976,1_merged_3090847,3061734
b_65452,18243,1,0,TO CENTRAL WEST END TC,111054,1_merged_3090847,3064854
b_65471,18245,1,1,TO NORTH HANLEY TC,111063,3_merged_3090848,3065254
b_6544,18218,1,0,TO CIVIC CENTER TC,110976,1_merged_3090847,3061739
b_65285,18232,1,0,TO CLAYTON TC,111025,2_merged_3090849,3063648
b_6542,18218,1,0,TO CIVIC CENTER TC,110976,1_merged_3090847,3061755
b_65113,18257,1,0,TO HAMPTON GRAVOIS TC,111135,2_merged_3090849,3067192
b_6511,18217,1,1,TO ROCK ROAD TC,110973,1_merged_3090847,3061634
b_6543,18218,1,1,TO NORTH HANLEY  TC,110978,3_merged_3090848,3061889
b_6542,18218,1,1,TO NORTH HANLEY  TC,110978,3_merged_3090848,3061888
b_65453,18243,1,1,TO CLAYTON & HIGHLAND TERRACE,111056,1_merged_3090847,3064857
a_67109,18348R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111568,2_merged_3090846,3088657
b_65475,18245,1,1,TO NORTH HANLEY TC,111063,3_merged_3090848,3065255
a_67113,18348R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111568,2_merged_3090846,3088656
a_65201,18300,1,0,TO ROCK ROAD TC,111366,1_merged_3090844,3081928
b_6541,18218,1,0,TO CIVIC CENTER TC,110976,1_merged_3090847,3061754
b_69261,18287,1,0,CASEYVILLE - TO COLLINSVILLE TC,111269,1_merged_3090847,3073760
b_65812,18257,1,0,TO HAMPTON GRAVOIS TC,111135,2_merged_3090849,3067195
a_62525,18320,1,0,TO LOUGHBOROUGH COMMONS,111423,1_merged_3090844,3084303
a_62523,18320,1,0,TO LOUGHBOROUGH COMMONS,111423,1_merged_3090844,3084302
b_65720,18254,1,0,TO RIVERVIEW TC VIA FOREST PARK,111113,3_merged_3090848,3066701
a_65161,18298,1,1,TO RIVERVIEW TC,111362,1_merged_3090844,3081681
a_65164,18298,1,0,TO DELMAR LOOP TC ONLY,111359,1_merged_3090844,3081680
a_65165,18298,1,1,TO RIVERVIEW TC,111363,1_merged_3090844,3081683
a_65164,18298,1,1,TO RIVERVIEW TC,111363,1_merged_3090844,3081682
a_65164,18298,1,1,TO RIVERVIEW TC,111363,1_merged_3090844,3081685
a_65166,18298,1,1,TO RIVERVIEW TC,111363,1_merged_3090844,3081684
a_65441,18315,1,1,TO CHESTERFIELD VALLEY,111406,1_merged_3090844,3083644
a_65165,18298,1,1,TO RIVERVIEW TC,111363,1_merged_3090844,3081686
a_65106,18295,1,1,TO HAMPTON GRAVOIS TC,111352,1_merged_3090844,3081137
a_65102,18295,1,1,TO HAMPTON GRAVOIS TC,111352,1_merged_3090844,3081136
a_65104,18295,1,1,TO HAMPTON GRAVOIS TC,111352,1_merged_3090844,3081135
a_65105,18295,1,1,TO HAMPTON GRAVOIS TC,111352,1_merged_3090844,3081134
a_65101,18295,1,1,TO HAMPTON GRAVOIS TC,111352,1_merged_3090844,3081133
a_65106,18295,1,1,TO HAMPTON GRAVOIS TC,111352,1_merged_3090844,3081132
a_62532,18320,1,1,TO BROADWAY TAYLOR TC,111424,1_merged_3090844,3084411
a_62537,18320,1,1,TO BROADWAY TAYLOR TC,111424,1_merged_3090844,3084410
a_62526,18320,1,0,TO LOUGHBOROUGH COMMONS,111423,1_merged_3090844,3084305
b_6516,18217,1,0,TO BRENTWOOD I-64 TC,110969,2_merged_3090849,3061658
a_62527,18320,1,0,TO LOUGHBOROUGH COMMONS,111423,1_merged_3090844,3084304
b_65451,18243,1,0,TO CENTRAL WEST END TC,111054,1_merged_3090847,3064851
a_67106,18348R,1,0,RED LINE TO SHILOH SCOTT,111558,2_merged_3090846,3088501
a_67116,18348B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,111553,2_merged_3090846,3088500
a_67115,18348R,1,0,RED LINE TO SHILOH SCOTT,111558,2_merged_3090846,3088503
a_67112,18348B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,111553,2_merged_3090846,3088502
a_67103,18348B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,111553,2_merged_3090846,3088505
a_67108,18348B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,111553,2_merged_3090846,3088504
a_67116,18348B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,111553,2_merged_3090846,3088507
a_67106,18348R,1,0,RED LINE TO SHILOH SCOTT,111558,2_merged_3090846,3088506
a_67114,18348B,1,0,BLUE LINE TO FAIRVIEW HEIGHTS,111553,2_merged_3090846,3088509
